pinyin	verb	id
bu	补	0251
bu-chong	补充	0252
bu-ji	补给	0253
bu-jiao	补缴	0254
bu-kui	补亏	0255
bu-shang	补上	0256
bu-xuan	补选	0257
bu-an	不安	0258
bu-bei	不备	0259
bu-bian	不便	0260
bu-bian	不变	0261
bu-cuo	不错	0262
bu-dang	不当	0263
bu-de-ren-xin	不得人心	0264
bu-duan	不断	0265
bu-fei	不菲	0266
bu-fu-cheng-ben	不敷成本	0267
bu-fu-ze-ren	不负责任	0268
bu-fu-zhong-wang	不负众望	0269
bu-gan-ji-mou	不甘寂寞	0270
bu-ji-qi-shu	不计其数	0271
bu-ji-xue-ben	不计血本	0272
bu-jing-qi	不景气	0273
bu-ke-duo-de	不可多得	0274
bu-ke-gao-ren	不可告人	0275
bu-li	不利	0276
bu-li-yu	不利于	0277
bu-li-yu	不利於	0278
bu-mou-er-he	不谋而合	0279
bu-qi-yan	不起眼	0280
bu-qie-shi-ji	不切实际	0281
bu-rong-hu-shi	不容忽视	0282
bu-shao	不少	0283
bu-shi	不实	0284
bu-tong	不同	0285
bu-tong-yi-wang	不同以往	0286
bu-xia	不下	0287
bu-yi	不一	0288
bu-yong	不用	0289
bu-yu	不予	0290
bu-zhen	不振	0291
bu-zhi	不支	0292
bu-zhi-bu-jue	不知不觉	0293
bu-zu	不足	0294
bu	布	0295
bu-dian	布点	0296
bu-ru	步入	0297
bu-shu	部署	0298
cai-dao	猜到	0299
cai-jue	裁决	0300
cai	采	0301
cai-fang	采访	0302
cai-kuang	采矿	0303
cai-qu	采取	0304
cai-ren	采认	0305
cai-wa	采挖	0306
cai-yong	采用	0307
cen-ci-bu-qi	参差不齐	0308
can-fang	参访	0309
can-guan	参观	0310
can-jia	参加	0311
can-sai	参赛	0312
can-yu	参予	0313
can-yu	参与	0314
can-yue	参阅	0315
can-zhan	参展	0316
can-zhao	参照	0317
can-shi	蚕食	0318
can-bao	残暴	0319
can-cun	残存	0320
can-hai	残害	0321
can	惨	0322
can-lie	惨烈	0323
can-zhong	惨重	0324
can-lan	灿烂	0325
cang	藏	0326
can-you	藏有	0327
cao	操	0328
cao-kong	操控	0329
cao-zong	操纵	0330
cao-qian	草签	0331
ce-hua	策划	0332
ce-suan	测算	0333
cha-ban	插班	0334
cha	查	0335
cha-chu	查出	0336
cha-chu	查处	0337
cha-feng	查封	0338
cha-huo	查获	0339
cha-kan	查看	0340
cha-ming	查明	0341
cha-qing	查清	0342
cha-xun	查询	0343
cha-yan	查验	0344
cha	差	0345
chai-feng	拆封	0346
chai-xie	拆卸	0347
chan-fu	搀扶	0348
chan-lian	蝉联	0349
chan-zhu	缠住	0350
chan	产	0351
chan-chu	产出	0352
chan-sheng	产生	0353
chan-xia	产下	0354
chan-xiao	产销	0355
chan-shu	阐述	0356
chang-sheng	昌盛	0357
chang-jue	猖獗	0358
chang-dao	尝到	0359
chang-shi	尝试	0360
chang-jian	常见	0361
chang	长	0362
chang-da	长达	0363
zhang-da	长大	0364
chang-ming	长鸣	0365
chang-shou	长寿	0366
chang-huan	偿还	0367
chang-kai	敞开	0368
chang	畅	0369
chang-tan	畅谈	0370
chang-tong-wu-zu	畅通无阻	0371
chang-xiao	畅销	0372
chang-chu	唱出	0373
chang-qi	唱起	0374
chang-yi	倡议	0375
chao	超	0376
chao-chu	超出	0377
chao-guo	超过	0378
chao-qian	超前	0379
chao-yue	超越	0380
chao-zhi	超支	0381
chao-zhuo	超卓	0382
chao-xiao	嘲笑	0383
chao-zuo	炒作	0384
che-chu	撤出	0385
che-dao	撤到	0386
che-diao	撤掉	0387
che-huan	撤换	0388
che-hui	撤回	0389
che-hui-guo	撤回国	0390
che-jun	撤军	0391
che-li	撤离	0392
che-wan	撤完	0393
che-xiao	撤销	0394
che-zou	撤走	0395
che-di	彻底	0396
chen-jiang	沉降	0397
chen-mo	沉没	0398
chen-mo	沉默	0399
chen-xian	沉陷	0400
chen-zhong	沉重	0401
chen	趁	0402
chen-ji	趁机	0403
cheng	称	0404
cheng-dao	称道	0405
cheng-qi	称奇	0406
cheng-wei	称为	0407
chen-xin	称心	0408
cheng-xiong	称雄	0409
cheng-zan	称赞	0410
cheng-zuo	称作	0411
cheng-shi-hua	城市化	0412
cheng	成	0413
cheng-zhang	成长	0414
cheng-gong	成功	0415
cheng-jiao	成交	0416
cheng-li	成立	0417
cheng-li-yu	成立于	0418
cheng-qun-jie-dui	成群结对	0419
cheng-shu	成熟	0420
cheng-wei	成为	0421
cheng-zhen	成真	0422
cheng	呈	0423
cheng-xian	呈现	0424
chen	乘	0425
cheng-feng	乘风	0426
cheng-zuo	乘坐	0427
cheng-chu	惩处	0428
cheng-zhi	惩治	0429
cheng-ken	诚恳	0430
cheng-shi	诚实	0431
cheng-zhi	诚挚	0432
cheng-ban	承办	0433
cheng-bao	承包	0434
cheng-bao	承保	0435
cheng-dan	承担	0436
cheng-dui	承兑	0437
cheng-jian	承建	0438
cheng-jie	承接	0439
cheng-lan	承揽	0440
cheng-nuo	承诺	0441
cheng-qian-qi-hou	承前启后	0442
cheng-ren	承认	0443
cheng-shou	承受	0444
cheng-zuo	承做	0445
chi	吃	0446
chi-diao	吃掉	0447
chi-fan	吃饭	0448
chi-jing	吃惊	0449
chi-ku	吃苦	0450
chi-kui	吃亏	0451
chi	持	0452
chi-jiu	持久	0453
chi-ping	持平	0454
chi-wen	持稳	0455
chi-xu	持续	0456
chi-you	持有	0457
chi-zhi-yi-heng	持之以恒	0458
chi-yi	迟疑	0459
chi-ming	驰名	0460
chi-luo-luo	赤裸裸	0461
chi-zi	斥资	0462
chong-chi	充斥	0463
chong-dang	充当	0464
chong-fen	充分	0465
chong-man	充满	0466
chong-pei	充沛	0467
chong-shi	充实	0468
chong-zu	充足	0469
chong-ci	冲刺	0470
chong-hui	冲毁	0471
chong-ji	冲击	0472
chong-po	冲破	0473
chong-xiang	冲向	0474
chong-gao	崇高	0475
chou-jian	抽检	0476
chou-qian	抽签	0477
chou-bei	筹备	0478
chou-cuo	筹措	0479
chou-hua	筹划	0480
chou-ji	筹集	0481
chou-jian	筹建	0482
chou-jie	筹借	0483
chou-zi	筹资	0484
chou-zu	筹足	0485
chou-zu	筹组	0486
chu-ju-gui-mo	初具规模	0487
chu	出	0488
chu-ban	出版	0489
chu-bing	出兵	0490
chu-chan	出产	0491
chu-chang	出场	0492
chu-chang	出厂	0493
chu-chou	出丑	0494
chu-dong	出动	0495
chu-fa	出发	0496
chu-fang	出访	0497
chu-guan	出关	0498
chu-guo	出国	0499
chu-hu	出乎	0500
chu-jing	出境	0501
chu-ju	出具	0502
chu-kou	出口	0503
chu-lai	出来	0504
chu-lu	出炉	0505
chu-ming	出名	0506
chu-qi	出齐	0507
chu-qu	出去	0508
chu-quan	出拳	0509
chu-rang	出让	0510
chu-ren-yi-liao	出人意料	0511
chu-ren	出任	0512
chu-ru	出入	0513
chu-sai	出赛	0514
chu-se	出色	0515
chu-shen	出身	0516
chu-sheng	出生	0517
chu-shi	出示	0518
chu-shou	出手	0519
chu-shou	出售	0520
chu-tai	出台	0521
chu-tu	出土	0522
chu-wai	出外	0523
chu-xi	出席	0524
chu-xian	出现	0525
chu-xie	出血	0526
chu-zhen	出阵	0527
chu-zi	出资	0528
chu-zi	出自	0529
chu-wai	除外	0530
chu-xia	除下	0531
chu-cun	储存	0532
chu-you	储有	0533
chu-li	矗立	0534
chu-fan	触犯	0535
chu	处	0536
chu-fa	处罚	0537
chu-li	处理	0538
chu-yu	处于	0539
chu-zai	处在	0540
chuan	穿	0541
chuan-suo	穿梭	0542
chuan-yue	穿越	0543
chuan	传	0544
chuan-bo	传播	0545
chuan-cheng	传承	0546
chuan-chu	传出	0547
chuan-da	传达	0548
chuan-dao	传到	0549
chuan-di	传递	0550
chuan-gei	传给	0551
chuan-lai	传来	0552
chuan-qu	传去	0553
chuan-song	传颂	0554
chuan-tong	传统	0555
chuan-xun	传讯	0556
chuan	喘	0557
chuan-men	串门	0558
chuang-jin	闯进	0559
chuang-ru	闯入	0560
chuang	创	0561
chuang-ban	创办	0562
chuang-chu	创出	0563
chuang-hui	创汇	0564
chuang-jian	创建	0565
chuang-li	创立	0566
chuang-xia	创下	0567
chuang-ye	创业	0568
chuang-zao	创造	0569
chuang-zuo	创作	0570
chui-xian	垂涎	0571
chun-chi-xiang-yi	唇齿相依	0572
chun-shu	纯属	0573
ci-diao	辞掉	0574
ci-tui	辞退	0575
ci-zhi	辞职	0576
ci-ji	刺激	0577
ci-yu	次于	0578
ci-yu	次於	0579
cong-jin	从紧	0580
cong-shi	从事	0581
